FID,FACILITYID,FACLAT,FATLONG,FATNAME,ExI,noisef,Soundlvl,remoteness,lux,Lightness,Miles,,,
9849,242401,39.919896,-122.686533,Whitlock Campground,1.04452,0.03,1,3,9,0,24.4500008,,,
2411,233816,40.54194444,-110.3361111,YELLOWSTONE GROUP CAMPGROUND,2.15251,0.07,2,3,15,0,24.4400005,,,
4768,236575,40.630542,-110.152878,Wandin Campground,1.69285,0.05,1,3,12,0,24.4099998,,,
11761,244567,46.078973,-121.452061,Sno-Park: Smith Butte,1.50599,0.05,1,3,8,0,24.3799992,,,
12803,245791,38.67840463,-108.7251039,Divide Forks/Rim ATV Trailhead,0.13725,0,0,3,13,0,24.3799992,,,
5845,237908,34.9523,-112.9352,Juniper Mesa Wilderness,0.48818,0.02,0,3,18,0,24.2999992,,,
98,202222,43.46313,-107.22903,Grave Springs Campground,2.95203,0.09,2,3,12,0,24.2900009,,,
3988,235459,40.13402518,-107.261498,Vaughan Lake Campground,1.50114,0.05,1,3,8,0,24.2900009,,,
6487,238632,40.09472222,-107.3086111,Ripple Creek Overlook Interpretive Site,0.41147,0.01,0,3,10,0,24.2299995,,,
1832,233232,38.01916667,-106.6813889,STONE CELLAR GUARD STATION,1.45478,0.05,1,3,19,0,24.2099991,,,
5908,237981,34.7309,-113.0251,Camp Wood Area,0.37053,0.01,0,3,18,0,24.2000008,,,
11009,243720,43.888989,-119.6315,Delintment Lake Campground,0.86662,0.03,1,3,11,0,24.1900005,,,
4843,236657,40.55579306,-110.7035447,Rock Creek Trailhead,1.42088,0.04,1,3,8,0,24.1800003,,,
15864,249469,38.01912578,-106.677469,Stone Cellar Campground,1.8068,0.06,1,3,19,0,24.1599998,,,
4575,236275,55.508889,-130.995806,Ella Bay Buoy Trailhead,0,0,0,3,6,0,24.1499996,,,
9745,242289,48.854829,-119.946291,Long Swamp Campground,0.73847,0.02,0,3,8,0,24.1200008,,,
9746,242290,48.85548,-119.94525,Windy Peak Trailhead,0.73847,0.02,0,3,7,0,24.0599995,,,
4557,236240,58.52083333,-133.8913889,Twin Glacier Trailhead,0,0,0,3,17,0,24.0300007,,,
1533,232931,55.53972222,-132.855,BLACK BEAR LAKE CABIN,0,0,0,3,9,0,23.9899998,,,
2912,234321,44.88222222,-112.1375,NOTCH CABIN,1.75339,0.05,1,3,13,0,23.9799995,,,
4842,236656,40.56754528,-110.82503,Grand View Trailhead,1.65731,0.05,1,3,19,0,23.9599991,,,
5911,237984,34.6905,-112.8764,Sheridan Mountain/Smith Mesa,1.14388,0.04,1,3,18,0,23.9500008,,,
4789,236599,40.64166667,-110.0566667,Smokey Springs Day Use Fishing Site,1.90723,0.06,1,3,9,0,23.8999996,,,
1882,233282,37.03230833,-117.3413917,Scottys Castle - Death Valley National Park,5.46592,0.17,2,3,18,0,23.8799992,,,
7991,240409,44.1103,-109.35202,Jack Creek Campground,1.51856,0.05,1,3,17,0,23.8700008,,,
927,232317,48.73416667,-116.8691667,BEAVER CREEK (IDAHO),0.98257,0.03,1,3,6,0,23.8400002,,,
15047,248563,36.390063,-112.356484,North Timp Snowmobile Route #152,0.10716,0,0,3,14,0,23.8299999,,,
11199,243917,38.626,-116.6879,Barley Creek Trailhead,1.56213,0.05,1,3,17,0,23.7700005,,,
4774,236581,40.622864,-110.143936,Uinta Canyon Campground,1.97665,0.06,1,3,12,0,23.75,,,
1666,233064,55.82055556,-133.1525,STANEY CREEK CABIN,0,0,0,3,6,0,23.7399998,,,
4766,236573,40.54878647,-110.6967225,Rock Spring Camping Area,2.03101,0.06,1,3,8,0,23.7399998,,,
12887,245880,38.81390249,-107.311651,Through Line/Coal Creek Trailhead,1.59036,0.05,1,3,8,0,23.7299995,,,
7897,240304,45.212508,-115.809258,Chinook Campground,0.89127,0.03,1,3,9,0,23.7099991,,,
9817,242367,40.012323,-123.016062,Soldier Ridge Trailhead,0.57907,0.02,0,3,12,0,23.6900005,,,
1803,233203,47.92546389,-113.2861694,SILVERTIP CABIN,1.59503,0.05,1,3,7,0,23.6700001,,,
9719,242262,48.823109,-120.019466,Thirtymile Trailhead,0.88587,0.03,1,3,11,0,23.6700001,,,
4080,235570,40.83960106,-106.9938684,Hahns Peak Lake Picnic Site,1.10603,0.03,1,3,8,0,23.6299992,,,
9856,242408,39.841256,-123.077989,Travelers Home Trailhead,0.13674,0,0,3,8,0,23.6100006,,,
8291,240736,45.7935,-115.531,Crooked River Campground #3,1.77377,0.06,1,3,8,0,23.6000004,,,
473,231863,40.83944444,-106.9897222,HAHNS PEAK LAKE,0.98673,0.03,1,3,8,0,23.5699997,,,
16465,250096,43.30522,-122.6758,Apple Creek Campground,2.3861,0.07,2,3,11,0,23.5300007,,,
1829,233229,47.50611111,-112.8911111,KENCK CABIN,1.12161,0.04,1,3,9,0,23.4899998,,,
4799,236610,40.533433,-110.623836,Miners Gulch Fishing Parking Fishing Site,1.55041,0.05,1,3,13,0,23.4599991,,,
11306,244027,33.099937,-108.012691,Rocky Canyon Campground,1.89886,0.06,1,3,12,0,23.4599991,,,
12872,245864,38.8615079,-106.7128291,Spring Creek Reservoir Boating Site- Gunnison RD,2.1921,0.07,2,3,10,0,23.4599991,,,
5987,238068,44.62426,-115.52398,Penn Basin Campground,2.25476,0.07,2,3,8,0,23.4500008,,,
9855,242407,39.819478,-122.646679,Thomes Gorge Trailhead,2.89809,0.09,2,3,13,0,23.4500008,,,
1684,233082,56.18666667,-131.8863889,ANAN BAY CABIN,0,0,0,3,6,0,23.4400005,,,
4675,236439,56.188056,-131.885,Anan Wildlife Observatory Site,0,0,0,3,6,0,23.4400005,,,
11291,244012,32.913563,-107.776496,Wright's Cabin Picnic Area,4.20975,0.13,2,3,9,0,23.4400005,,,
12856,245847,38.86035644,-106.7100226,Mosca Campground - Gunnison RD,1.79562,0.06,1,3,10,0,23.4400005,,,
2822,234230,40.53277778,-110.6227778,MINERS GULCH,1.59197,0.05,1,3,13,0,23.4300003,,,
10033,242588,47.51308,-112.88919,South Fork Sun Trailhead,0.76683,0.02,0,3,9,0,23.4200001,,,
4801,236612,40.52666667,-110.5916667,Lower Stillwater Day Use Area Fishing Site,1.70529,0.05,1,3,14,0,23.4099998,,,
9809,242359,39.99137,-122.914846,Elk Lake Trailhead,0.42716,0.01,0,3,12,0,23.4099998,,,
520,231910,40.53527778,-110.6380556,YELLOWPINE,1.76145,0.06,1,3,13,0,23.3999996,,,
2740,234148,43.29277778,-122.6869444,Deer Flat Group Site (Horseshoe Bend Campground),0,0,0,3,11,0,23.3899994,,,
4518,236189,55.806917,-133.1225,Staney Bridge Campground,0,0,0,3,7,0,23.3899994,,,
17713,251364,43.29277778,-122.6869444,HORSESHOE BEND CAMPGROUND (OR),0,0,0,3,11,0,23.3899994,,,
2826,234234,40.53,-110.6116667,ROCK CREEK GROUP,1.23965,0.04,1,3,14,0,23.3799992,,,
9986,242540,47.49722222,-112.8888889,Straight Creek Packer Corrals Horse Camp,1.13322,0.04,1,3,9,0,23.3700008,,,
16823,250455,42.62576068,-123.8692912,Shasta Costa Overlook,0,0,0,3,6,0,23.3700008,,,
17061,250699,42.58299265,-123.896772,Bear Camp Ridge - Brandy Peak Trailhead,0,0,0,3,8,0,23.3600006,,,
16836,250468,42.60093339,-123.8681832,Bear Camp Ridge - High Ridge Trailhead,0.26426,0.01,0,3,10,0,23.3500004,,,
10012,242567,47.50111111,-112.8880556,South Fork Campground,1.05267,0.03,1,3,9,0,23.3299999,,,
10026,242581,47.85166667,-112.7747222,South Fork Teton Trailhead,2.03695,0.06,1,3,7,0,23.3299999,,,
4758,236564,40.560697,-110.838519,Splash Dam Campsite Camping Area,1.62161,0.05,1,3,13,0,23.3199997,,,
15249,248848,40.814822,-105.80253,Sand Creek Road (#336),2.82357,0.09,2,3,10,0,23.2999992,,,
4511,236171,55.814417,-133.129694,Horseshoe Hole Campground,0,0,0,3,8,0,23.2900009,,,
1682,233080,56.0618,-131.9712833,FROSTY BAY CABIN,0,0,0,3,6,0,23.2700005,,,
1592,232990,55.42777778,-130.8194444,WINSTANLEY LAKE CABIN,0,0,0,3,6,0,23.2399998,,,
14205,247703,36.459069,-112.48822,Thunder River #23,1.83988,0.06,1,3,19,0,23.2399998,,,
3254,234664,38.65055556,-108.6736111,ASPEN LEAF,0,0,0,3,15,0,23.2099991,,,
3256,234666,38.65055556,-108.6736111,OAK CABIN,0,0,0,3,15,0,23.2099991,,,
15253,248852,40.795385,-105.771975,Nunn Creek Road (#318),2.06691,0.06,1,3,11,0,23.2099991,,,
4079,235569,40.83466683,-106.9853445,Hahns Peak Lake Eastside Picnic Site,1.5916,0.05,1,3,8,0,23.2000008,,,
12882,245875,38.82287858,-107.1876356,Cliff Creek Trailhead,0.92528,0.03,1,3,10,0,23.1900005,,,
4800,236611,40.52666667,-110.61,Fisherman Day Use Day Use Area,0.95121,0.03,1,3,14,0,23.1800003,,,
10013,242568,47.495,-112.885,Benchmark Packer Corrals Horse Camp,1.58062,0.05,1,3,9,0,23.1800003,,,
7512,239874,45.39833333,-109.9672222,West Fork Stillwater Trailhead,0.63534,0.02,0,3,8,0,23.1599998,,,
8215,240652,45.851944,-115.3525,Kirks Fork Trailhead,1.77852,0.06,1,3,8,0,23.1399994,,,
12825,245814,39.0658952,-107.8314467,Weir and Johnson Campground - Grand Valley RD,1.67379,0.05,1,3,9,0,23.1299992,,,
4576,236276,55.50711,-131.0390467,Ella Lake Trailhead,0,0,0,3,8,0,23.0900002,,,
3987,235458,40.1438985,-107.1388088,Sheriff Reservoir Campground,1.29973,0.04,1,3,8,0,23.0699997,,,
10006,242561,47.85888889,-112.7727778,Mill Falls Campground,2.5142,0.08,2,3,7,0,23.0499992,,,
12860,245851,38.85038298,-107.1007161,Old Irwin Cemetery,2.11238,0.07,2,3,9,0,23.0400009,,,
14111,247546,63.60878579,-149.5845642,Igloo Creek Campground,0,0,0,3,17,0,23.0300007,,,
11734,244530,46.057172,-121.626861,Sno-Park: Flattop,1.36051,0.04,1,3,7,0,23.0100002,,,
10011,242566,47.48583333,-112.8808333,Benchmark Campground,1.67509,0.05,1,3,8,0,22.9899998,,,
12865,245856,37.98486235,-107.2244702,Slumgullion Campground - Gunnison RD,3.68947,0.12,2,3,10,0,22.9899998,,,
5955,238032,36.4624834,-112.4849063,Indian Hollow Campground,0.45611,0.01,0,3,19,0,22.9400005,,,
11732,244528,46.0476,-121.7546,Campground: Cultus Creek,1.35859,0.04,1,3,6,0,22.9200001,,,
11292,244013,33.42319,-108.5013,Dipping Vat Campground,1.4057,0.04,1,3,12,0,22.9099998,,,
11780,244588,46.04756,-121.75645,Trailhead: Cultus Creek,1.35859,0.04,1,3,6,0,22.9099998,,,
7606,239987,44.60212792,-114.8060173,Phillips Creek Transfer Camp Trailhead,2.76718,0.09,2,3,8,0,22.8799992,,,
10021,242576,47.4883,-112.87856,Benchmark Airstrip Site Observation Site,1.439,0.04,1,3,10,0,22.8799992,,,
12848,245838,38.86625791,-107.0229891,Kebler Pass Winter Trailhead,1.70955,0.05,1,3,8,0,22.8799992,,,
9835,242386,39.824719,-123.084391,Eel River Campground,0.81949,0.03,1,3,13,0,22.8600006,,,
99,202223,43.43885,-107.22358,Buffalo Creek Campground,1.82856,0.06,1,3,18,0,22.8299999,,,
16468,250099,43.313071,-122.835592,Fall Creek Falls Trailhead,1.63029,0.05,1,3,6,0,22.8299999,,,
7560,239928,45.50440782,-114.4579737,Horse Creek Hot Spring Campground,1.17088,0.04,1,3,8,0,22.8199997,,,
12818,245807,39.06458391,-107.8429365,Twin Lake Dispersed Area,1.5867,0.05,1,3,10,0,22.8099995,,,
15242,248840,40.805958,-105.772522,Roaring Creek Road (#173),2.12867,0.07,2,3,10,0,22.8099995,,,
17586,251237,44.66117,-115.44334,Snowshoe / Summit Trailhead,2.58393,0.08,2,3,11,0,22.7999992,,,
283,203860,35.9963314,-105.3177015,Mora National Fish Hatchery and Technology Center,5.01753,0.16,2,3,25,0,22.7399998,,,
13569,246847,35.13746524,-115.4107094,Mid Hills Campground,2.91187,0.09,2,3,21,0,22.7399998,,,
1590,232988,55.455,-130.9058333,WINSTANLEY ISLAND CABIN,0,0,0,3,6,0,22.7299995,,,
1596,232994,60.98444444,-148.1983333,HARRISON LAGOON CABIN,0,0,0,3,8,0,22.7299995,,,
4532,236206,57.914,-135.575,Road 85785,0,0,0,3,6,0,22.7299995,,,
17004,250642,42.62625719,-123.8354892,Bear Camp Ridge Trailhead,1.81055,0.06,1,3,7,0,22.7099991,,,
17027,250665,42.62634246,-123.8354792,Bear Camp Viewpoint,1.81055,0.06,1,3,7,0,22.7099991,,,
11730,244526,46.058761,-121.529581,Interpretive Site: Big Tree,1.5887,0.05,1,3,7,0,22.7000008,,,
16889,250523,42.553,-123.919,Grassy Flats Dispersed Campsites,0,0,0,3,11,0,22.6900005,,,
6985,239302,47.93551352,-113.3054437,Silvertip Trailhead,1.54882,0.05,1,3,7,0,22.6800003,,,
11008,243719,43.869303,-119.5063,Alder Springs Camp,1.39065,0.04,1,3,13,0,22.6800003,,,
11718,244507,46.044267,-121.858952,Sno-Park: Lone Butte,2.96429,0.09,2,3,8,0,22.6800003,,,
11772,244580,46.058292,-121.540966,Trailhead: Buck Creek-Lower,1.58186,0.05,1,3,7,0,22.6800003,,,
948,232338,37.72333333,-107.2575,THIRTY MILE,0.76979,0.02,0,3,8,0,22.6700001,,,
9822,242372,39.463511,-122.740502,Cold Creek Trailhead,1.73278,0.05,1,3,10,0,22.6499996,,,
7490,239852,45.403817,-109.954952,Initial Creek Campground,0.89947,0.03,1,3,8,0,22.6200008,,,
12801,245789,38.6844131,-108.6896436,Divide Forks Campground - Grand Valley RD,0.94806,0.03,1,3,14,0,22.6100006,,,
15854,249459,37.23925505,-106.470968,Lower South Fork Trailhead Trail 724 & 720,1.62838,0.05,1,3,9,0,22.6000004,,,
15811,249416,37.261184,-106.466229,Valdez Trailhead Trail 717,2.59829,0.08,2,3,9,0,22.5900002,,,
15823,249428,37.72203245,-107.2592498,Thirty Mile Trailhead #814,0.77834,0.02,0,3,8,0,22.5900002,,,
16462,250093,43.248762,-122.8227,Grotto Falls Trailhead,0.25593,0.01,0,3,6,0,22.5900002,,,
11763,244569,46.0543,-121.4722,Sno-Park: SnowKing,2.17811,0.07,2,3,9,0,22.5599995,,,
11725,244517,46.2158,-121.668277,Campground: Twin Falls,2.33079,0.07,2,3,6,0,22.5400009,,,
11242,243961,41.7226,-115.9001,Wildhorse Crossing Campground,2.19638,0.07,2,3,19,0,22.5300007,,,
6440,238575,40.00694444,-107.4261111,Marvine Campground,2.44216,0.08,2,3,8,0,22.5200005,,,
16766,250397,42.62693585,-123.8314612,Bear Camp Pasture Dispersed Campsites,2.27735,0.07,2,3,7,0,22.5,,,
11746,244544,46.038,-121.7126,Campground: Little Goose,1.23538,0.04,1,3,6,0,22.4899998,,,
4533,236207,57.912,-135.561,Road 85786,0,0,0,3,7,0,22.4799995,,,
1661,233059,56.24111111,-133.32,RED BAY LAKE CABIN,0,0,0,3,6,0,22.4699993,,,
5950,238025,36.427313,-112.403676,Crazy Jug Viewpoint,0.1856,0.01,0,3,14,0,22.4699993,,,
17436,251087,43.65155,-115.40987,Trinity Warming Hut,1.60969,0.05,1,3,11,0,22.4500008,,,
1683,233081,56.27916667,-131.8486111,MARTEN LAKE CABIN,0,0,0,3,6,0,22.4400005,,,
4630,236355,55.42464,-130.84596,Winstanley Lake Trailhead,0,0,0,3,5,0,22.4400005,,,
8869,241354,36.879,-107.215,Buzzard Park Campground,1.5088,0.05,1,3,17,0,22.4400005,,,
5984,238065,44.64508,-115.58658,Summit Lake Campground,2.51829,0.08,2,3,9,0,22.4300003,,,
11747,244545,46.03694,-121.71291,Campground: Little Goose Horse Camp,1.23538,0.04,1,3,6,0,22.4300003,,,
11754,244554,46.054427,-121.538586,Horse Camp: Mt. Adams,1.18806,0.04,1,3,7,0,22.4099998,,,
1105,232495,25.13861111,-80.94166667,FLAMINGO,1.30229,0.04,1,3,15,0,22.3999996,,,
12874,245866,38.81736934,-106.6075614,Taylor Dam Vista Point,1.28849,0.04,1,3,9,0,22.3899994,,,
764,232154,38.8175,-106.58,Lakeview Gunnison,1.6001,0.05,1,3,9,0,22.3799992,,,
7548,239915,44.59664781,-114.8129469,Tin Cup Campground,2.10082,0.07,2,3,8,0,22.3799992,,,
12875,245867,38.82046667,-106.5827234,Taylor Park Observation Site,1.6001,0.05,1,3,9,0,22.3799992,,,
11806,244614,46.036955,-121.70722,Trailhead: Middle Trail-Lower,1.29738,0.04,1,3,6,0,22.3600006,,,
9984,242538,47.85993557,-112.7571903,Green Gulch Dispersed Camp Campground,2.96937,0.09,2,3,7,0,22.3500004,,,
1673,233071,56.64416667,-131.8988889,MOUNT FLEMER CABIN,0,0,0,3,12,0,22.3299999,,,
10016,242571,47.47555556,-112.8663889,Van Deriet Campground,1.60957,0.05,1,3,10,0,22.3299999,,,
11787,244595,46.03508,-121.71377,Trailhead: Filloon,0.93789,0.03,1,3,6,0,22.3099995,,,
2424,233829,40.69722222,-110.0625,POLE CREEK,1.39675,0.04,1,3,17,0,22.2999992,,,
6438,238573,40.011828,-107.427604,East Marvine Campground,1.58335,0.05,1,3,8,0,22.2999992,,,
17428,251079,43.65871,-115.40662,Cross Cut Trailhead,2.01137,0.06,1,3,11,0,22.2999992,,,
7655,240036,38.464,-109.015,Carpenter Ridge/Buckeye,1.16952,0.04,1,3,9,0,22.2900009,,,
12881,245874,37.98680901,-107.2377614,Windy Point Observation Site,2.86937,0.09,2,3,8,0,22.2700005,,,
4045,235531,42.25614116,-105.4848078,Friend Park Campground,1.35276,0.04,1,3,8,0,22.2600002,,,
12821,245810,39.06385645,-107.8718686,Vela Reservoir Boat Launch- Grand Valley RD,1.45608,0.05,1,3,11,0,22.2199993,,,
11760,244565,46.0352,-121.8811,Sno-Park: Rush Creek,2.65739,0.08,2,3,6,0,22.1800003,,,
16479,250110,43.394233,-122.479895,Boulder Creek Trailhead,0,0,0,3,9,0,22.1800003,,,
7587,239966,44.8292,-114.5093,Westward Overlook - Lemhi Pass CDT Access,2.10834,0.07,2,3,10,0,22.1700001,,,
11768,244576,46.093308,-121.906626,Trailhead: Big Creek Falls,1.61782,0.05,1,3,6,0,22.1700001,,,
15744,249348,37.904402,-106.916534,Phoenix Park Trailhead,2.29787,0.07,2,3,10,0,22.1700001,,,
15778,249382,37.857857,-106.973925,Miners Creek Trailhead #803,2.18405,0.07,2,3,14,0,22.1599998,,,
12797,245785,38.70857817,-108.7012686,Big Creek Uncompahgre Day Use Area/Fishing Site,0.05043,0,0,3,12,0,22.1399994,,,
12876,245868,38.8234501,-106.5800033,Taylor Reservoir Boat Ramp - Gunnison RD,1.2608,0.04,1,3,9,0,22.1399994,,,
10038,242593,47.47388889,-112.8616667,Ron Janikula Trailhead,2.00072,0.06,1,3,10,0,22.1200008,,,
11284,244005,32.918485,-107.70117,Kingston Campground,5.53143,0.17,2,3,17,0,22.0799999,,,
11758,244563,46.048887,-121.499662,Sno-Park: Pineside,1.84701,0.06,1,3,12,0,22.0699997,,,
4494,236140,56.171917,-133.317778,El Cap Cave Interpretive Site,0,0,0,3,8,0,22.0599995,,,
17596,251247,44.7326,-115.6056,Trout Creek / Thunderbolt Trailhead,2.88208,0.09,2,3,8,0,22.0499992,,,
7609,239990,44.83137,-114.50333,Everett Decora Trailhead,1.46856,0.05,1,3,16,0,22.0400009,,,
11723,244513,46.032065,-121.890908,Site: Old Mount St. Helens Viewpoint,2.33971,0.07,2,3,6,0,22.0400009,,,
6952,239265,48.87445,-114.374036,Ford River Access Boating Site,1.17464,0.04,1,3,8,0,22.0100002,,,
9826,242376,39.453219,-122.739215,Windy Point Trailhead,0.96924,0.03,1,3,10,0,22.0100002,,,
4517,236186,55.953056,-133.236917,Sarkar Lake Access Boating Site,0,0,0,3,6,0,22,,,
3101,234511,48.88333333,-114.3916667,WURTZ CABIN,1.30092,0.04,1,3,8,0,21.9899998,,,
12796,245784,39.07822254,-107.8811145,Big Creek Reservoir Boat  Launch Grand Valley RD,1.44459,0.05,1,3,10,0,21.9899998,,,
2389,233794,40.53416667,-110.8727778,HADES,1.4363,0.04,1,3,12,0,21.9400005,,,
2928,234337,48.87361111,-114.3766667,FORD CABIN,1.17464,0.04,1,3,8,0,21.8999996,,,
11288,244009,32.909735,-107.803618,Iron Creek Campground,2.79745,0.09,2,3,11,0,21.8999996,,,
11916,244728,37.13548019,-103.0154583,Carrizo Canyon Picnic Area,0.14785,0,0,3,19,0,21.8999996,,,
1644,233042,56.70527778,-134.9238889,AVOSS LAKE CABIN,0,0,0,3,11,0,21.8700008,,,
12889,245882,39.07845755,-107.8834609,Big Creek Campground - Grand Valley RD,1.44459,0.05,1,3,10,0,21.8700008,,,
12891,245884,39.07845755,-107.8834609,Cottonwood Lake Campground - Grand Valley RD,1.44459,0.05,1,3,10,0,21.8700008,,,
11829,244639,46.10218,-121.90497,Trailhead: Speed,1.6947,0.05,1,3,6,0,21.8600006,,,
16447,250078,43.216634,-122.7213,Lake In The Woods Campground,0.37011,0.01,0,3,6,0,21.8600006,,,
33,202067,43.05983,-111.92713,Morgans Bridge Campground,4.03034,0.13,2,3,15,0,21.7999992,,,
7930,240340,45.1684348,-115.83541,Split Creek Trailhead,1.6638,0.05,1,3,8,0,21.7900009,,,
11762,244568,46.0313,-121.6882,Campground: Smokey Creek,2.7108,0.08,2,3,6,0,21.7900009,,,
7584,239963,45.3264,-114.428,Cove Creek Boating Site,1.47679,0.05,1,3,12,0,21.7800007,,,
4798,236609,40.60027778,-110.115,Uinta Ponds Day Use Area Fishing Site,1.49861,0.05,1,3,14,0,21.7700005,,,
89,202204,37.4736,-111.2452,Calf Creek Campground,0.92246,0.03,1,3,24,0,21.7600002,,,
6953,239266,48.799,-114.1256,Glacier Rim River Access Boating Site,1.09387,0.03,1,3,6,0,21.7399998,,,
12313,245210,41.952848,-113.319767,Clear Creek Campground,0.93682,0.03,1,3,18,0,21.7299995,,,
17534,251185,44.5971,-115.5113,North Fork Sulfur Creek Trailhead,1.78431,0.06,1,3,8,0,21.7199993,,,
7881,240287,44.963289,-115.661626,Deadman Bar Campground,1.41941,0.04,1,3,10,0,21.6800003,,,
7989,240407,43.9351,-109.17862,Brown Mountain Campground,2.61746,0.08,2,3,8,0,21.6800003,,,
15753,249357,37.73620257,-107.1007937,Fern Creek Trailhead # 815,2.20716,0.07,2,3,13,0,21.6800003,,,
11717,244506,46.182506,-121.847771,Trailhead: Lewis River/Quartz Creek,1.29655,0.04,1,3,6,0,21.6700001,,,
4773,236580,40.61333333,-109.9466667,Whiterocks Campground,1.01534,0.03,1,3,8,0,21.6499996,,,
15243,248841,40.817822,-105.835017,Jimmy Creek Road (#303),1.01885,0.03,1,3,9,0,21.6499996,,,
11010,243721,43.864706,-119.4197,Emigrant Campground,1.92212,0.06,1,3,10,0,21.6100006,,,
11801,244609,46.028913,-121.685056,Trailhead: Lemei,2.91109,0.09,2,3,6,0,21.6000004,,,
12051,244898,37.97669611,-105.5050544,South Colony Basin,3.03918,0.09,2,3,10,0,21.6000004,,,
6979,239296,47.92394848,-113.3728983,Beaver Creek Campground,1.32193,0.04,1,3,9,0,21.5900002,,,
15773,249377,37.171416,-106.442542,Conejos Campground,2.04865,0.06,1,3,10,0,21.5699997,,,
4458,236093,45.29818,-110.23921,Hick's Park Campground,1.38702,0.04,1,3,9,0,21.5400009,,,
12279,245163,43.625972,-115.134433,Willow Creek Transfer Camp,0.99327,0.03,1,3,11,0,21.5400009,,,
5096,236932,44.078953,-120.320342,Elkhorn Campground,1.85923,0.06,1,3,11,0,21.5200005,,,
12817,245806,39.05442259,-107.8766743,Trickle Park Reservoir Boat Launch- Grand Valley R,1.30318,0.04,1,3,11,0,21.5200005,,,
1961,233361,40.78873333,-110.8849556,SULPHUR CAMPGROUND,3.01845,0.09,2,3,9,0,21.4799995,,,
3312,234722,36.41111111,-112.1347222,DEMOTTE,2.55473,0.08,2,3,14,0,21.4699993,,,
15786,249390,37.72205438,-107.2800937,Rio Grande Reservoir Picnic Site,1.06387,0.03,1,3,11,0,21.4699993,,,
1579,232977,55.0275,-130.54,HUMPBACK LAKE CABIN,0,0,0,3,5,0,21.4500008,,,
11716,244505,46.185325,-121.851075,Horse Camp: Lewis River,2.09375,0.07,2,3,6,0,21.4500008,,,
15824,249429,37.16858323,-106.4391592,Spectacle Lake Fishing Site,1.95721,0.06,1,3,10,0,21.4500008,,,
15798,249402,37.168362,-106.439179,Spectacle Lake Campground,1.95721,0.06,1,3,10,0,21.4400005,,,
5978,238057,43.62898,-115.44395,Little Roaring River Lake Campground,1.61584,0.05,1,3,11,0,21.4200001,,,
3611,235031,41.08375,-123.13615,Cecil Lake Trailhead,1.66326,0.05,1,3,10,0,21.3999996,,,
9447,241946,48.199321,-120.587392,Refrigerator Harbor Campground,0.55647,0.02,0,3,7,0,21.3999996,,,
919,232309,43.62888889,-115.4369444,BIG TRINITY CABIN,1.71048,0.05,1,3,11,0,21.3899994,,,
2676,234084,41.11,-107.17,SANDSTONE CABIN,2.48899,0.08,2,3,11,0,21.3899994,,,
12299,245189,42.165809,-114.17011,Bostetter Campground,2.16143,0.07,2,3,12,0,21.3799992,,,
11721,244511,46.040225,-121.918011,Observation Site: McClellan,1.72613,0.05,1,3,8,0,21.3600006,,,
15036,248551,36.417145,-112.091954,East Rim Viewpoint,0.68804,0.02,0,3,11,0,21.3600006,,,
9441,241939,48.2003,-120.59,Lucerne Landing Boating Site,0.51129,0.02,0,3,7,0,21.3199997,,,
